default_land=plains
default_sea=sea
default_coastal_sea=coastal_sea

# Only override provinces that should not be plains.

################
# HELLAS
################

## HELLAS ###################################

### LAKEDAIMON
10=farmlands # b_sparta_sparta
11=hills # b_sellasia_sparta
9=hills # b_krokeai_sparta
2=hills # b_prasiai_prasiai
3=hills # b_kyphanta_prasiai
1=mountains # b_maleatas_prasiai
#6=plains # b_epidauros_limen_epidauros_limen
7=hills # b_geronthrai_epidauros_limen
#8=plains # b_gytheion_gytheion
13=mountains # b_tainaron_gytheion
4=hills # b_kythera_kythera
5=hills # b_boiai_kythera
14=hills # b_kardamyle_limnai
631=mountains # b_limnai_limnai

### MESSENIA
21=hills # b_messene_messene
19=forest # b_karnasion_messene
#20=plains # b_kyparissia_messene
22=farmlands # b_korone_messene
18=hills # b_thouria_thouria
17=hills # b_pherai_thouria
25=hills # b_methone_methone
#23=plains # b_erana_methone
24=hills # b_pylos_methone

### ELIS
34=farmlands # b_elis_koile_elis
33=hills # b_kyllene_koile_elis
#35=plains # b_myrtountion_koile_elis
31=hills # b_pylos_koile_elis
26=farmlands # b_lepreon_triphylia
27=wetlands # b_epitalion_triphylia
28=hills # b_makistos_triphylia
#30=plains # b_olympia_pisatis
29=hills # b_kikysion_pisatis
#32=plains # b_pheia_pisatis

### ACHAIA
#40=plains # b_aigion_aigion
41=mountains # b_leontion_aigion
42=valley # b_kynaithai_aigion
#36=plains # b_dyme_dyme
37=hills # b_tritaia_dyme
39=farmlands # b_patrai_patrai
38=forest # b_pharai_patrai
43=mountains # b_keryneia_keryneia
44=mountains # b_boura_keryneia
46=hills # b_pellene_pellene
45=hills # b_aigeira_pellene

### ARCADIA
#50=plains # b_megalopolis_megalopolis
51=mountains # b_lykosoura_megalopolis
52=hills # b_gortys_megalopolis
12=hills # b_athenaion_megalopolis
#53=plains # b_heraia_heraia
54=hills # b_thelpousa_heraia
55=valley # b_kleitor_kleitor
56=valley # b_pheneos_kleitor
58=valley # b_orchomenos_orchomenosr
57=hills # b_torthyneion_orchomenos
