# Macedonian, part of Greek Group

3254.1.1 = { # 500 BC
	join_era = culture_era_classical
}

3431.1.1 = { # 323 BC
	join_era = culture_era_hellenistic
}

3479.1.1 = {

	## ARCHAIC ###################################

	# # Military
	# discover_innovation = innovation_archaic_ephebic_oath				# Ephebic Oath
	# discover_innovation = innovation_archaic_mess_halls					# Mess Halls
	# discover_innovation = innovation_archaic_oppida						# Oppida
	# discover_innovation = innovation_archaic_battering_ram				# Battering Ram
	# discover_innovation = innovation_archaic_saddle						# Saddle
	# discover_innovation = innovation_archaic_blacksmithing				# Blacksmith

	# # Civic
	# discover_innovation = innovation_archaic_recordkeeping				# Recordkeeping
	# discover_innovation = innovation_archaic_popular_assemblies			# Popular Assemblies
	# discover_innovation = innovation_archaic_two_field_rotation			# Two-Field Rotation
	# discover_innovation = innovation_archaic_measurement				# Measurement
	# discover_innovation = innovation_archaic_plumbing					# Plumbing
	# discover_innovation = innovation_archaic_cartography				# Cartography
	# discover_innovation = innovation_archaic_estate_planning			# Estate Planning
	# discover_innovation = innovation_archaic_surgical_instruments		# Surgical Instruments

	## CLASSICAL ###################################

	# Military
	discover_innovation = innovation_classical_picked_troops			# Picked Troops
	discover_innovation = innovation_classical_mustering_grounds		# Mustering Grounds
	discover_innovation = innovation_classical_garrisons				# Garrisons
	discover_innovation = innovation_classical_siege_engines				# Siege Towers
	# discover_innovation = innovation_classical_thyreos				# Thyreós
		add_innovation_progress = {
			culture_innovation = innovation_classical_thyreos
			progress = 50
		}
	discover_innovation = innovation_classical_trilobate_arrowheads		# Trilobate Arrowheads

	# Civic
	discover_innovation = innovation_classical_historical_method		# Historical Method
	discover_innovation = innovation_classical_constitution				# Constitution
	discover_innovation = innovation_classical_winch_and_pulley			# Winch and Pulley
	discover_innovation = innovation_classical_monetary_standards		# Monetary Standards
	discover_innovation = innovation_classical_hippodamian_plan			# Hippodamian Plan
	discover_innovation = innovation_classical_diplomatic_missions		# Diplomatic Missions
	discover_innovation = innovation_classical_public_honours			# Public Honours
	discover_innovation = innovation_classical_bureaucracy				# Bureaucracy

	# Regional
	discover_innovation = innovation_hoplon								# Hoplon
	discover_innovation = innovation_sarissa							# Sarissa
	discover_innovation = innovation_companion_cavalry					# Companion Cavalry

	## HELLENISTIC ###################################

	# Military
	discover_innovation = innovation_hellenistic_military_settlers		# Military Settlers
	# discover_innovation = innovation_hellenistic_ephebic_college		# Ephebic College
	# discover_innovation = innovation_hellenistic_castramentation		# Castramentation
	discover_innovation = innovation_hellenistic_ballista				# Ballista
	# discover_innovation = innovation_hellenistic_chainmail			# Chain Mail
	discover_innovation = innovation_hellenistic_baggage_train			# Baggage Train

	# Civic
	#discover_innovation = innovation_hellenistic_aulic_titulature		# Aulic Titulature
	# discover_innovation = innovation_hellenistic_compound_pulley		# Compound Pulley
	# discover_innovation = innovation_hellenistic_private_banking		# Private Banking
	# discover_innovation = innovation_hellenistic_hydraulics			# Hydraulics
	# discover_innovation = innovation_hellenistic_postal_system		# Postal System
	discover_innovation = innovation_hellenistic_land_survey			# Land Survey
	# discover_innovation = innovation_hellenistic_just_war				# Just War Theory
	# discover_innovation = innovation_late_hellenistic_aristolabe			# Astrolabe

	## IMPERIAL ###################################

	# Military
	# discover_innovation = innovation_imperial_reenlistment			# Re-Enlistment
	# discover_innovation = innovation_imperial_standing_camps			# Standing Camps
	# discover_innovation = innovation_imperial_limites					# Līmitēs
	# discover_innovation = innovation_late_hellenistic_siege_engineers			# Siege Engineers
	# discover_innovation = innovation_imperial_auxiliary_corps			# Auxiliary Corps
	# discover_innovation = innovation_imperial_distinguished_service	# Distinguished Service

	# Civic
	# discover_innovation = innovation_imperial_codices					# Codices
	# discover_innovation = innovation_imperial_threadwheel_crane		# Treadwheel Crane
	# discover_innovation = innovation_imperial_promissory_notes		# Promissory Notes
	# discover_innovation = innovation_imperial_rounded_arch			# Hypocaust
	# discover_innovation = innovation_imperial_waystations				# Way Stations
	# discover_innovation = innovation_late_hellenistic_industrialized_farming				# Lātifundia
	# discover_innovation = innovation_late_hellenistic_hypocaust				# Hypocaust
	# discover_innovation = innovation_imperial_glassblowing			# Glassblowing
}
