l_english:
 doctrine_ritual_character_name:0 "Ritual Character"
 
 popular_ritual_character_doctrine_name:0 "Popular"
 popular_ritual_character_doctrine_desc:0 "."
 public_ritual_character_doctrine_name:0 "Public"
 public_ritual_character_doctrine_desc:0 "."
 mysteries_ritual_character_doctrine_name:0 "Mysteries"
 mysteries_ritual_character_doctrine_desc:0 "."
 
 doctrine_parameter_hostility_override_popular_ritual_character_doctrine:0 "Considers [GetFaithDoctrine('popular_ritual_character_doctrine').GetBaseName] [faiths|E] to be    [GetHostilityLevelName( TOKEN_PARAMETER.GetIntValue )|V]"
 doctrine_parameter_hostility_override_public_ritual_character_doctrine:0 "Considers [GetFaithDoctrine('public_ritual_character_doctrine').GetBaseName] [faiths|E] to be  [GetHostilityLevelName( TOKEN_PARAMETER.GetIntValue )|V]"
 doctrine_parameter_hostility_override_mysteries_ritual_character_doctrine:0 "Considers [GetFaithDoctrine('mysteries_ritual_character_doctrine').GetBaseName] [faiths|E] to be [GetHostilityLevelName( TOKEN_PARAMETER.GetIntValue )|V]"
